tokenizer,protein_subtype,metric,n,mean,std,ci_lower,ci_upper,ci_width
raw_nonoverlap_k6,NA-H1N1,upa_token_fraction,100,0.2544867673553011,0.000561683641113492,0.2534396138010615,0.2556568538548164,0.0022172400537548986
raw_nonoverlap_k6,NA-H3N2,token_entropy_bits,100,7.783334127970631,0.0011383920550325224,7.781412774386833,7.785547224791842,0.004134450405008927
raw_nonoverlap_k6,NA-H3N2,effective_vocab_size,100,220.3603260138017,0.17420369819179626,220.06975181945313,220.69743609992977,0.6276842804766432
raw_nonoverlap_k6,NA-H3N2,cpg_token_fraction,100,0.08119779279692999,0.0003403249587565897,0.08045451111610745,0.08176557536161576,0.0013110642455083088
raw_nonoverlap_k6,NA-H3N2,upa_token_fraction,100,0.23265755889165482,0.0003660586664293978,0.23193164586122955,0.23345290515769895,0.0015212592964694016
raw_overlap_k3,HA-H1N1,token_entropy_bits,100,5.7721806726718645,0.0003513772688544635,5.771604415257192,5.772888091495664,0.0012836762384722533
raw_overlap_k3,HA-H1N1,effective_vocab_size,100,54.65267142108068,0.013311812413608896,54.63087107223262,54.67952048733383,0.04864941510120957
raw_overlap_k3,HA-H1N1,cpg_token_fraction,100,0.029751584829060495,6.751538792773612e-05,0.029624004596948743,0.029878699963770215,0.00025469536682147173
raw_overlap_k3,HA-H1N1,upa_token_fraction,100,0.11763572170197184,0.00018309875796212983,0.11729438993974649,0.1179958211243653,0.0007014311846188087
raw_overlap_k3,HA-H3N2,token_entropy_bits,100,5.787496631431189,0.0002687757515172342,5.787018271179585,5.787967287608911,0.0009490164293257664
raw_overlap_k3,HA-H3N2,effective_vocab_size,100,55.235376051651336,0.010318709071207233,55.217049059650634,55.25336953173283,0.036320472082195465
raw_overlap_k3,HA-H3N2,cpg_token_fraction,100,0.03615344329203985,8.15967691954772e-05,0.0360008975725547,0.03630300411261423,0.00030210654005952825
raw_overlap_k3,HA-H3N2,upa_token_fraction,100,0.09625350118172561,0.0001510755985657788,0.09596273103481258,0.09651751063472074,0.0005547795999081562
raw_overlap_k3,NA-H1N1,token_entropy_bits,100,5.80625873187799,0.00016922105710039106,5.805948509921769,5.806560204078503,0.0006116941567340106
raw_overlap_k3,NA-H1N1,effective_vocab_size,100,55.95800613923256,0.006565902190054684,55.94592962885865,55.96972315429168,0.02379352543302815
raw_overlap_k3,NA-H1N1,cpg_token_fraction,100,0.03316779670070209,7.175837177020158e-05,0.033032316785698866,0.0333238050026009,0.00029148821690203053
raw_overlap_k3,NA-H1N1,upa_token_fraction,100,0.11322085935588856,5.7171427766633454e-05,0.11311637499264159,0.11333572933847857,0.00021935434583698898
raw_overlap_k3,NA-H3N2,token_entropy_bits,100,5.831503505192666,0.00019228093306494721,5.831137200827289,5.831840330464287,0.0007031296369977014
