panel,subtype,protein,dinucleotide,n,mean,median,std,q05,q95
mvp,H1N1,HA,CC,5000,1.0688451268328076,1.0406152605159456,0.0919026480114683,0.9759974966495485,1.2662326960748003
mvp,H1N1,NA,CC,5000,1.0944668865061544,1.0972227656059816,0.027454025558535527,1.0489140850860463,1.1340023890266497
mvp,H3N2,HA,CC,5000,1.0390272897731319,1.0398042244745263,0.035874647007993817,0.9745533533764331,1.1037527246568863
mvp,H3N2,NA,CC,5000,1.1362097167407783,1.1355075365962053,0.02906459425573389,1.089384719896508,1.1879408482370737
smoke,H1N1,HA,CC,200,1.122289728830618,1.079000559369138,0.11531531442548959,0.9818732269373274,1.2958972676951312
smoke,H1N1,NA,CC,200,1.0909326091544267,1.0940960909044364,0.027224223671282605,1.0465172790079205,1.1338305243583664
smoke,H3N2,HA,CC,200,1.0368642052983184,1.0375413065022925,0.037690375099581994,0.9692968882488348,1.1037527246568863
smoke,H3N2,NA,CC,200,1.1382385027477546,1.1359342347729404,0.03006690302267223,1.0960980060004297,1.1911880829895958
mvp,H1N1,HA,CG,5000,0.35978995953013004,0.3655016460793383,0.027402956148604336,0.2985703953238316,0.39228094542649844
mvp,H1N1,NA,CG,5000,0.386816721772339,0.37708003722385414,0.029709893396038394,0.3481147511710687,0.4457481422519841
mvp,H3N2,HA,CG,5000,0.4155917591676921,0.4144962345830604,0.025992634229233307,0.3749809845654241,0.4636581290682926
mvp,H3N2,NA,CG,5000,0.3789970297569801,0.37920183909644534,0.02139975744495068,0.3431953080587128,0.41203008799434854
smoke,H1N1,HA,CG,200,0.34787786722177927,0.35862335579158783,0.03382487336846311,0.28568575545834407,0.3884583281962544
smoke,H1N1,NA,CG,200,0.3964290279990004,0.38989393630144314,0.032920437635082934,0.35411235264612945,0.4541486308482477
smoke,H3N2,HA,CG,200,0.4200386993569238,0.42055764472848506,0.027003552832493803,0.3804006066135552,0.46530086905771956
smoke,H3N2,NA,CG,200,0.3798813650913464,0.3813696374924394,0.022083758190389116,0.34291370641898516,0.4134845604919066
mvp,H1N1,HA,CT,5000,1.0652140026057368,1.0630610108814784,0.03271920281631022,1.0134362266733394,1.1163448278396217
mvp,H1N1,NA,CT,5000,1.034269190099249,1.0379197313574018,0.03830133075061047,0.956113830649199,1.0903947727154701
mvp,H3N2,HA,CT,5000,1.0636426424602905,1.0700962874914852,0.03330455689293414,0.9821421119015546,1.103857178464606
mvp,H3N2,NA,CT,5000,1.0127444943599917,1.0121956310783415,0.020078269815194387,0.9788567389646433,1.0452610347153304
smoke,H1N1,HA,CT,200,1.0591879649989868,1.0530937974179864,0.029225805581998613,1.01783465575529,1.1094251793795193
smoke,H1N1,NA,CT,200,1.016880474798739,1.0211752744075784,0.04330334815169715,0.949243399783695,1.0868956576803894
smoke,H3N2,HA,CT,200,1.0631711626434688,1.0690247002074615,0.033429042092420105,0.9832474548032113,1.102537929254244
smoke,H3N2,NA,CT,200,1.0121466520627502,1.0133594519788471,0.021761443792539626,0.9750693486442809,1.0414395420177014
mvp,H1N1,HA,GA,5000,0.9728918480998916,0.9661651779474971,0.02859817121768448,0.9418994673813628,1.0333092356786915
mvp,H1N1,NA,GA,5000,0.9623032785045541,0.9677065520164759,0.025279702403249192,0.9086824419182492,0.9931029770011317
mvp,H3N2,HA,GA,5000,1.018297646280602,1.0198453003099948,0.022556755300676648,0.976125448405928,1.0516563199674334
